platform,rank,cover_img,title,artist,playtime
멜론,1,https://cdn.chartin.me/image/album/melon/11415997.jpg?v=1708932598095&size=80,밤양갱,비비 (BIBI),2:27
멜론,2,https://cdn.chartin.me/image/album/melon/11404142.jpg?v=1708419856767&size=80,Love wins all,아이유,4:32
멜론,3,https://cdn.chartin.me/image/album/melon/11391902.jpg?v=1706952264860&size=80,첫 만남은 계획대로 되지 않아,TWS (투어스),2:33
멜론,4,https://cdn.chartin.me/image/album/melon/11407156.jpg?v=1708333664729&size=80,EASY,LE SSERAFIM (르세라핌),2:45
멜론,5,https://cdn.chartin.me/image/album/melon/11372896.jpg?v=1706952255449&size=80,To. X,태연 (TAEYEON),2:51
멜론,6,https://cdn.chartin.me/image/album/melon/11376816.jpg?v=1706952256383&size=80,비의 랩소디,임재현,3:56
멜론,7,https://cdn.chartin.me/image/album/melon/11404142.jpg?v=1708419856767&size=80,홀씨,아이유,3:11
멜론,8,https://cdn.chartin.me/image/album/melon/11394065.jpg?v=1706952266196&size=80,Love 119,RIIZE,2:54
멜론,9,https://cdn.chartin.me/image/album/melon/11352904.jpg?v=1706952251454&size=80,Perfect Night,LE SSERAFIM (르세라핌),2:40
멜론,10,https://cdn.chartin.me/image/album/melon/11382987.jpg?v=1706952258614&size=80,에피소드,이무진,3:26
멜론,11,https://cdn.chartin.me/image/album/melon/11305759.jpg?v=1706952246992&size=80,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),4:11
멜론,12,https://cdn.chartin.me/image/album/melon/11402655.jpg?v=1706952285766&size=80,나는 아픈 건 딱 질색이니까,(여자)아이들,2:42
멜론,13,https://cdn.chartin.me/image/album/melon/10735654.jpg?v=1706952235841&size=80,사랑은 늘 도망가,임영웅,4:03
멜론,14,https://cdn.chartin.me/image/album/melon/11362544.jpg?v=1706952253708&size=80,Drama,aespa,3:35
멜론,15,https://cdn.chartin.me/image/album/melon/11427101.jpg?v=1708938337840&size=80,WAY 4 LUV,PLAVE,3:40
멜론,16,https://cdn.chartin.me/image/album/melon/11404142.jpg?v=1708419856767&size=80,Shopper,아이유,3:36
멜론,17,https://cdn.chartin.me/image/album/melon/11227533.jpg?v=1706952243620&size=80,헤어지자 말해요,박재정,4:04
멜론,18,https://cdn.chartin.me/image/album/melon/11258233.jpg?v=1706952245062&size=80,모래 알갱이,임영웅,3:41
멜론,19,https://cdn.chartin.me/image/album/melon/10821699.jpg?v=1706952236525&size=80,인사,범진,3:36
멜론,20,https://cdn.chartin.me/image/album/melon/10923444.jpg?v=1706952237703&size=80,우리들의 블루스,임영웅,3:28
멜론,21,https://cdn.chartin.me/image/album/melon/11340391.jpg?v=1706952249528&size=80,Do or Die,임영웅,3:26
멜론,22,https://cdn.chartin.me/image/album/melon/11402655.jpg?v=1706952285766&size=80,Super Lady,(여자)아이들,2:33
멜론,23,https://cdn.chartin.me/image/album/melon/11427101.jpg?v=1708938337840&size=80,Watch Me Woo!,PLAVE,2:16
멜론,24,https://cdn.chartin.me/image/album/melon/11286070.jpg?v=1706952246266&size=80,Seven (feat. Latto) - Clean Ver.,정국,3:05
멜론,25,https://cdn.chartin.me/image/album/melon/10923444.jpg?v=1706952237703&size=80,다시 만날 수 있을까,임영웅,4:35
멜론,26,https://cdn.chartin.me/image/album/melon/11427101.jpg?v=1708938337840&size=80,버추얼 아이돌,PLAVE,2:30
멜론,27,https://cdn.chartin.me/image/album/melon/11427101.jpg?v=1708938337840&size=80,우리 영화,PLAVE,2:42
멜론,28,https://cdn.chartin.me/image/album/melon/11427101.jpg?v=1708938337840&size=80,From,PLAVE,3:29
멜론,29,https://cdn.chartin.me/image/album/melon/11402655.jpg?v=1706952285766&size=80,Wife,(여자)아이들,2:02
멜론,30,https://cdn.chartin.me/image/album/melon/10412319.jpg?v=1706952233495&size=80,이제 나만 믿어요,임영웅,4:03
멜론,31,https://cdn.chartin.me/image/album/melon/10923444.jpg?v=1706952237703&size=80,무지개,임영웅,3:17
멜론,32,https://cdn.chartin.me/image/album/melon/11385577.jpg?v=1706952259531&size=80,꿈,태연 (TAEYEON),3:59
멜론,33,https://cdn.chartin.me/image/album/melon/11211297.jpg?v=1706952242914&size=80,I AM,IVE (아이브),3:04
멜론,34,https://cdn.chartin.me/image/album/melon/11356868.jpg?v=1706952252358&size=80,MANIAC,VIVIZ (비비지),3:16
멜론,35,https://cdn.chartin.me/image/album/melon/11102375.jpg?v=1706952240175&size=80,London Boy,임영웅,4:05
멜론,36,https://cdn.chartin.me/image/album/melon/11102375.jpg?v=1706952240175&size=80,Polaroid,임영웅,3:27
멜론,37,https://cdn.chartin.me/image/album/melon/10923444.jpg?v=1706952237703&size=80,아버지,임영웅,3:59
멜론,38,https://cdn.chartin.me/image/album/melon/10923444.jpg?v=1706952237703&size=80,인생찬가,임영웅,3:54
멜론,39,https://cdn.chartin.me/image/album/melon/11309832.jpg?v=1706952247531&size=80,Get A Guitar,RIIZE,2:41
멜론,40,https://cdn.chartin.me/image/album/melon/10923444.jpg?v=1706952237703&size=80,A bientot,임영웅,4:17
멜론,41,https://cdn.chartin.me/image/album/melon/11427101.jpg?v=1708938337840&size=80,Merry PLLIstmas,PLAVE,4:00
멜론,42,https://cdn.chartin.me/image/album/melon/11309190.jpg?v=1706952247353&size=80,Love Lee,AKMU (악뮤),3:00
멜론,43,https://cdn.chartin.me/image/album/melon/2232505.jpg?v=1706952325425&size=80,너의 모든 순간,성시경,4:03
멜론,44,https://cdn.chartin.me/image/album/melon/11333459.jpg?v=1706952248839&size=80,Baddie,IVE (아이브),2:35
멜론,45,https://cdn.chartin.me/image/album/melon/10036099.jpg?v=1706952231104&size=80,예뻤어,DAY6 (데이식스),4:43
멜론,46,https://cdn.chartin.me/image/album/melon/11421941.jpg?v=1708509702497&size=80,천상연,이창섭,4:32
멜론,47,https://cdn.chartin.me/image/album/melon/10923444.jpg?v=1706952237703&size=80,연애편지,임영웅,3:36
멜론,48,https://cdn.chartin.me/image/album/melon/11285867.jpg?v=1706952245945&size=80,사막에서 꽃을 피우듯,우디 (Woody),4:20
멜론,49,https://cdn.chartin.me/image/album/melon/11281456.jpg?v=1706952245756&size=80,Super Shy,NewJeans,2:35
멜론,50,https://cdn.chartin.me/image/album/melon/11240232.jpg?v=1706952244533&size=80,퀸카 (Queencard),(여자)아이들,2:42
멜론,51,https://cdn.chartin.me/image/album/melon/10307346.jpg?v=1706952232579&size=80,한 페이지가 될 수 있게,DAY6 (데이식스),3:26
멜론,52,https://cdn.chartin.me/image/album/melon/11280645.jpg?v=1706952245561&size=80,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴,4:19
멜론,53,https://cdn.chartin.me/image/album/melon/11339556.jpg?v=1706952249348&size=80,You & Me,제니 (JENNIE),3:00
멜론,54,https://cdn.chartin.me/image/album/melon/11011565.jpg?v=1706952238851&size=80,Hype Boy,NewJeans,2:57
멜론,55,https://cdn.chartin.me/image/album/melon/10871162.jpg?v=1706952237086&size=80,사랑인가 봐,멜로망스,3:05
멜론,56,https://cdn.chartin.me/image/album/melon/11127145.jpg?v=1706952240377&size=80,Ditto,NewJeans,3:06
멜론,57,https://cdn.chartin.me/image/album/melon/11309190.jpg?v=1706952247353&size=80,후라이의 꿈,AKMU (악뮤),3:25
멜론,58,https://cdn.chartin.me/image/album/melon/11281456.jpg?v=1706952245756&size=80,ETA,NewJeans,2:32
멜론,59,https://cdn.chartin.me/image/album/melon/11358100.jpg?v=1706952252728&size=80,Standing Next to You,정국,3:27
멜론,60,https://cdn.chartin.me/image/album/melon/10903868.jpg?v=1706952237282&size=80,사건의 지평선,윤하 (YOUNHA),5:01
멜론,61,https://cdn.chartin.me/image/album/melon/11404142.jpg?v=1708419856767&size=80,관객이 될게 (I stan U),아이유,3:13
멜론,62,https://cdn.chartin.me/image/album/melon/10331947.jpg?v=1706952232736&size=80,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),4:51
멜론,63,https://cdn.chartin.me/image/album/melon/11180278.jpg?v=1706952241684&size=80,심(心),DK(디셈버),4:18
멜론,64,https://cdn.chartin.me/image/album/melon/10037969.jpg?v=1706952231279&size=80,봄날,방탄소년단,4:34
멜론,65,https://cdn.chartin.me/image/album/melon/11242411.jpg?v=1706952244728&size=80,사랑..그게 뭔데,지아,3:46
멜론,66,https://cdn.chartin.me/image/album/melon/11215072.jpg?v=1706952243244&size=80,사랑하지 않아서 그랬어,임한별,3:44
멜론,67,https://cdn.chartin.me/image/album/melon/11154218.jpg?v=1706952240751&size=80,그대가 내 안에 박혔다(그내박),순순희(기태),3:38
멜론,68,https://cdn.chartin.me/image/album/melon/11236264.jpg?v=1706952244336&size=80,Spicy,aespa,3:18
멜론,69,https://cdn.chartin.me/image/album/melon/11382496.jpg?v=1706952258434&size=80,사랑할 수밖에,볼빨간사춘기,3:46
멜론,70,https://cdn.chartin.me/image/album/melon/10479150.jpg?v=1706952233872&size=80,Dynamite,방탄소년단,3:20
멜론,71,https://cdn.chartin.me/image/album/melon/11398907.jpg?v=1706952275188&size=80,기억해줘요 내 모든 날과 그때를,화곡동 청개구리,3:37
멜론,72,https://cdn.chartin.me/image/album/melon/10816959.jpg?v=1706952236377&size=80,취중고백,김민석,3:48
멜론,73,https://cdn.chartin.me/image/album/melon/11234678.jpg?v=1706952244137&size=80,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌),3:06
멜론,74,https://cdn.chartin.me/image/album/melon/11323044.jpg?v=1706952248426&size=80,별 떨어진다 (I Do),디오 (D.O.),2:44
멜론,75,https://cdn.chartin.me/image/album/melon/11400015.jpg?v=1706952278294&size=80,"Yes or No (Feat. 허윤진 of LE SSERAFIM, Crush)",그루비룸 (GroovyRoom),3:00
멜론,76,https://cdn.chartin.me/image/album/melon/10844485.jpg?v=1706952236716&size=80,I Don't Think That I Like Her,Charlie Puth,3:09
멜론,77,https://cdn.chartin.me/image/album/melon/10975276.jpg?v=1706952238096&size=80,해요 (2022),#안녕,3:59
멜론,78,https://cdn.chartin.me/image/album/melon/10909179.jpg?v=1706952237493&size=80,LOVE DIVE,IVE (아이브),2:58
멜론,79,https://cdn.chartin.me/image/album/melon/10260858.jpg?v=1706952232413&size=80,주저하는 연인들을 위해,잔나비,4:26
멜론,80,https://cdn.chartin.me/image/album/melon/10149492.jpg?v=1706952231638&size=80,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,3:30
멜론,81,https://cdn.chartin.me/image/album/melon/11211297.jpg?v=1706952242914&size=80,Kitsch,IVE (아이브),3:16
멜론,82,https://cdn.chartin.me/image/album/melon/11062828.jpg?v=1706952239841&size=80,그중에 그대를 만나,김호중,4:20
멜론,83,https://cdn.chartin.me/image/album/melon/2219671.jpg?v=1706952325265&size=80,첫 눈,EXO,3:27
멜론,84,https://cdn.chartin.me/image/album/melon/11229537.jpg?v=1706952243793&size=80,손오공,세븐틴 (SEVENTEEN),3:21
멜론,85,https://cdn.chartin.me/image/album/melon/11404142.jpg?v=1708419856767&size=80,"Shh.. (Feat. 혜인(HYEIN), 조원선 & Special Narr. 패티김)",아이유,3:47
멜론,86,https://cdn.chartin.me/image/album/melon/10610525.jpg?v=1706952234440&size=80,다정히 내 이름을 부르면,"경서예지, 전건호",3:52
멜론,87,https://cdn.chartin.me/image/album/melon/11233031.jpg?v=1706952243970&size=80,물론,허각,3:44
멜론,88,https://cdn.chartin.me/image/album/melon/11254858.jpg?v=1706952244876&size=80,Steal The Show (From “엘리멘탈”),Lauv,3:12
멜론,89,https://cdn.chartin.me/image/album/melon/11034298.jpg?v=1706952239225&size=80,After LIKE,IVE (아이브),2:57
멜론,90,https://cdn.chartin.me/image/album/melon/11166539.jpg?v=1706952241114&size=80,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),3:25
멜론,91,https://cdn.chartin.me/image/album/melon/11127145.jpg?v=1706952240377&size=80,OMG,NewJeans,3:33
멜론,92,https://cdn.chartin.me/image/album/melon/11345655.jpg?v=1706952250154&size=80,Discord,QWER,2:48
멜론,93,https://cdn.chartin.me/image/album/melon/10612483.jpg?v=1706952234653&size=80,Butter,방탄소년단,2:45
멜론,94,https://cdn.chartin.me/image/album/melon/11376558.jpg?v=1706952256197&size=80,"그대가 있는 곳, 언제 어디든",로이킴,3:41
멜론,95,https://cdn.chartin.me/image/album/melon/2336926.jpg?v=1706952325791&size=80,Dangerously,Charlie Puth,3:19
멜론,96,https://cdn.chartin.me/image/album/melon/11348980.jpg?v=1706952250872&size=80,음악의 신,세븐틴 (SEVENTEEN),3:26
멜론,97,https://cdn.chartin.me/image/album/melon/11234678.jpg?v=1706952244137&size=80,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌),3:03
멜론,98,https://cdn.chartin.me/image/album/melon/11300771.jpg?v=1706952246627&size=80,Fast Forward,전소미,2:41
멜론,99,https://cdn.chartin.me/image/album/melon/11140018.jpg?v=1706952240575&size=80,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키),3:16
멜론,100,https://cdn.chartin.me/image/album/melon/11315612.jpg?v=1706952248043&size=80,"Smoke (Prod. Dynamicduo, Padi)","다이나믹 듀오, 이영지",3:30
지니,1,https://cdn.chartin.me/image/album/genie/84783137.jpg?v=1709284122571&size=80,밤양갱,비비 (BIBI),2:26
지니,2,https://cdn.chartin.me/image/album/genie/84662081.jpg?v=1709284120860&size=80,첫 만남은 계획대로 되지 않아,TWS (투어스),2:32
지니,3,https://cdn.chartin.me/image/album/genie/84729887.jpg?v=1709284122011&size=80,Love wins all,아이유 (IU),4:31
지니,4,https://cdn.chartin.me/image/album/genie/84545218.jpg?v=1709284120242&size=80,비의 랩소디,임재현,3:55
지니,5,https://cdn.chartin.me/image/album/genie/84539814.jpg?v=1709284120103&size=80,To. X,태연 (TAEYEON),2:50
지니,6,https://cdn.chartin.me/image/album/genie/84742099.jpg?v=1709284122259&size=80,EASY,LE SSERAFIM (르세라핌),2:45
지니,7,https://cdn.chartin.me/image/album/genie/84729887.jpg?v=1709284122011&size=80,홀씨,아이유 (IU),3:11
지니,8,https://cdn.chartin.me/image/album/genie/84600370.jpg?v=1709284120646&size=80,에피소드,이무진,3:25
지니,9,https://cdn.chartin.me/image/album/genie/84429291.jpg?v=1709284119507&size=80,Perfect Night,LE SSERAFIM (르세라핌),2:39
지니,10,https://cdn.chartin.me/image/album/genie/83748133.jpg?v=1709284115476&size=80,헤어지자 말해요,박재정,4:04
지니,11,https://cdn.chartin.me/image/album/genie/80919666.jpg?v=1709284103897&size=80,예뻤어,DAY6 (데이식스),4:43
지니,12,https://cdn.chartin.me/image/album/genie/84729887.jpg?v=1709284122011&size=80,Shopper,아이유 (IU),3:36
지니,13,https://cdn.chartin.me/image/album/genie/84668309.jpg?v=1709284120959&size=80,Love 119,RIIZE,2:54
지니,14,https://cdn.chartin.me/image/album/genie/84150934.jpg?v=1709284117614&size=80,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),4:11
지니,15,https://cdn.chartin.me/image/album/genie/84472747.jpg?v=1709284120006&size=80,Drama,aespa,3:35
지니,16,https://cdn.chartin.me/image/album/genie/83665559.jpg?v=1709284114997&size=80,I AM,IVE (아이브),3:04
지니,17,https://cdn.chartin.me/image/album/genie/82451947.jpg?v=1709284109546&size=80,인사,범진,3:36
지니,18,https://cdn.chartin.me/image/album/genie/84718499.jpg?v=1709284121811&size=80,Wife,(여자)아이들,2:01
지니,19,https://cdn.chartin.me/image/album/genie/84181610.jpg?v=1709284118137&size=80,Love Lee,AKMU (악뮤),3:00
지니,20,https://cdn.chartin.me/image/album/genie/84718499.jpg?v=1709284121811&size=80,나는 아픈 건 딱 질색이니까,(여자)아이들,2:42
지니,21,https://cdn.chartin.me/image/album/genie/81244101.jpg?v=1709284105042&size=80,한 페이지가 될 수 있게,DAY6 (데이식스),3:26
지니,22,https://cdn.chartin.me/image/album/genie/84718499.jpg?v=1709284121811&size=80,Super Lady,(여자)아이들,2:32
지니,23,https://cdn.chartin.me/image/album/genie/84181610.jpg?v=1709284118137&size=80,후라이의 꿈,AKMU (악뮤),3:25
지니,24,https://cdn.chartin.me/image/album/genie/82614128.jpg?v=1709284110272&size=80,사건의 지평선,윤하 (YOUNHA),5:01
지니,25,https://cdn.chartin.me/image/album/genie/83556186.jpg?v=1709284114600&size=80,심 (心),DK (디셈버),4:17
지니,26,https://cdn.chartin.me/image/album/genie/84297639.jpg?v=1709284118639&size=80,Baddie,IVE (아이브),2:34
지니,27,https://cdn.chartin.me/image/album/genie/83810194.jpg?v=1709284116199&size=80,퀸카 (Queencard),(여자)아이들,2:41
지니,28,https://cdn.chartin.me/image/album/genie/84344886.jpg?v=1709284118841&size=80,You & Me,제니 (JENNIE),2:59
지니,29,https://cdn.chartin.me/image/album/genie/84030640.jpg?v=1709284117266&size=80,사막에서 꽃을 피우듯,우디 (Woody),4:19
지니,30,https://cdn.chartin.me/image/album/genie/82842800.jpg?v=1709284111991&size=80,Hype Boy,NewJeans,2:57
지니,31,https://cdn.chartin.me/image/album/genie/83325577.jpg?v=1709284113866&size=80,Ditto,NewJeans,3:06
지니,32,https://cdn.chartin.me/image/album/genie/84815509.jpg?v=1709284122660&size=80,천상연,이창섭,4:31
지니,33,https://cdn.chartin.me/image/album/genie/84019740.jpg?v=1709284117170&size=80,ETA,NewJeans,2:31
지니,34,https://cdn.chartin.me/image/album/genie/84048666.jpg?v=1709284117345&size=80,Seven (Feat. Latto) (Clean Ver.),정국,3:04
지니,35,https://cdn.chartin.me/image/album/genie/82484273.jpg?v=1709284109631&size=80,I Don't Think That I Like Her,Charlie Puth,3:09
지니,36,https://cdn.chartin.me/image/album/genie/84447433.jpg?v=1709284119810&size=80,MANIAC,VIVIZ (비비지),3:16
지니,37,https://cdn.chartin.me/image/album/genie/84019740.jpg?v=1709284117170&size=80,Super Shy,NewJeans,2:35
지니,38,https://cdn.chartin.me/image/album/genie/80401547.jpg?v=1709284103181&size=80,너의 모든 순간,성시경,4:03
지니,39,https://cdn.chartin.me/image/album/genie/82540759.jpg?v=1709284109851&size=80,사랑인가 봐,멜로망스 (MeloMance),3:05
지니,40,https://cdn.chartin.me/image/album/genie/83665559.jpg?v=1709284114997&size=80,Kitsch,IVE (아이브),3:15
지니,41,https://cdn.chartin.me/image/album/genie/83455650.jpg?v=1709284114283&size=80,그대가 내 안에 박혔다 (그내박),순순희 (기태),3:37
지니,42,https://cdn.chartin.me/image/album/genie/84011548.jpg?v=1709284117084&size=80,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴,4:18
지니,43,https://cdn.chartin.me/image/album/genie/82912984.jpg?v=1709284112440&size=80,After LIKE,IVE (아이브),2:57
지니,44,https://cdn.chartin.me/image/album/genie/80673272.jpg?v=1709284103382&size=80,Dangerously,Charlie Puth,3:19
지니,45,https://cdn.chartin.me/image/album/genie/84193518.jpg?v=1709284118233&size=80,Smoke (Prod. by Dynamicduo & Padi),"다이나믹 듀오, 다이나믹 듀오 & 이영지, 이영지",3:30
지니,46,https://cdn.chartin.me/image/album/genie/82051769.jpg?v=1709284107533&size=80,다정히 내 이름을 부르면,"경서예지, 경서예지 & 전건호, 전건호",3:51
지니,47,https://cdn.chartin.me/image/album/genie/82624363.jpg?v=1709284110354&size=80,LOVE DIVE,IVE (아이브),2:57
지니,48,https://cdn.chartin.me/image/album/genie/83773897.jpg?v=1709284115792&size=80,물론,허각,3:44
지니,49,https://cdn.chartin.me/image/album/genie/83343048.jpg?v=1709284114067&size=80,건물 사이에 피어난 장미,H1-KEY (하이키),3:16
지니,50,https://cdn.chartin.me/image/album/genie/84181596.jpg?v=1709284118030&size=80,Get A Guitar,RIIZE,2:40
지니,51,https://cdn.chartin.me/image/album/genie/83793925.jpg?v=1709284115992&size=80,Spicy,aespa,3:17
지니,52,https://cdn.chartin.me/image/album/genie/81172042.jpg?v=1709284104863&size=80,주저하는 연인들을 위해,잔나비,4:25
지니,53,https://cdn.chartin.me/image/album/genie/84611536.jpg?v=1709284120745&size=80,꿈,태연 (TAEYEON),3:59
지니,54,https://cdn.chartin.me/image/album/genie/83779626.jpg?v=1709284115870&size=80,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌),3:06
지니,55,https://cdn.chartin.me/image/album/genie/82727185.jpg?v=1709284111351&size=80,해요 (2022),#안녕,3:58
지니,56,https://cdn.chartin.me/image/album/genie/83684144.jpg?v=1709284115177&size=80,사랑하지 않아서 그랬어,임한별,3:44
지니,57,https://cdn.chartin.me/image/album/genie/82443459.jpg?v=1709284109441&size=80,취중고백,김민석,3:48
지니,58,https://cdn.chartin.me/image/album/genie/81271853.jpg?v=1709284105611&size=80,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),4:50
지니,59,https://cdn.chartin.me/image/album/genie/82322594.jpg?v=1709284108705&size=80,사랑은 늘 도망가,임영웅,4:03
지니,60,https://cdn.chartin.me/image/album/genie/82842800.jpg?v=1709284111991&size=80,Attention,NewJeans,2:58
지니,61,https://cdn.chartin.me/image/album/genie/82923028.jpg?v=1709284112542&size=80,숲,최유리,3:48
지니,62,https://cdn.chartin.me/image/album/genie/83815849.jpg?v=1709284116313&size=80,사랑..그게 뭔데,지아,3:46
지니,63,https://cdn.chartin.me/image/album/genie/15027331.jpg?v=1709284102591&size=80,희재,성시경,4:42
지니,64,https://cdn.chartin.me/image/album/genie/82130513.jpg?v=1709284108014&size=80,Stay,"The Kid LAROI, The Kid LAROI & Justin Bieber, Justin Bieber",2:22
지니,65,https://cdn.chartin.me/image/album/genie/84387353.jpg?v=1709284119169&size=80,Discord,QWER,2:48
지니,66,https://cdn.chartin.me/image/album/genie/84729887.jpg?v=1709284122011&size=80,관객이 될게 (I stan U),아이유 (IU),3:13
지니,67,https://cdn.chartin.me/image/album/genie/81044453.jpg?v=1709284104353&size=80,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,3:31
지니,68,https://cdn.chartin.me/image/album/genie/83325577.jpg?v=1709284113866&size=80,OMG,NewJeans,3:32
지니,69,https://cdn.chartin.me/image/album/genie/84127432.jpg?v=1709284117440&size=80,Fast Forward,전소미,2:41
지니,70,https://cdn.chartin.me/image/album/genie/84297639.jpg?v=1709284118639&size=80,Either Way,IVE (아이브),2:47
지니,71,https://cdn.chartin.me/image/album/genie/82484273.jpg?v=1709284109631&size=80,That's Hilarious,Charlie Puth,2:27
지니,72,https://cdn.chartin.me/image/album/genie/83519066.jpg?v=1709284114502&size=80,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),3:25
지니,73,https://cdn.chartin.me/image/album/genie/81031556.jpg?v=1709284104277&size=80,2002,Anne-Marie,3:07
지니,74,https://cdn.chartin.me/image/album/genie/83762577.jpg?v=1709284115568&size=80,손오공,세븐틴 (SEVENTEEN),3:20
지니,75,https://cdn.chartin.me/image/album/genie/83779626.jpg?v=1709284115870&size=80,UNFORGIVEN (Feat. Nile Rodgers),LE SSERAFIM (르세라핌),3:02
지니,76,https://cdn.chartin.me/image/album/genie/83073238.jpg?v=1709284113335&size=80,When I Get Old,"Christopher, Christopher & 청하, 청하",3:05
지니,77,https://cdn.chartin.me/image/album/genie/82983095.jpg?v=1709284112810&size=80,Monologue,테이 (Tei),4:22
지니,78,https://cdn.chartin.me/image/album/genie/84297639.jpg?v=1709284118639&size=80,Off The Record,IVE (아이브),3:09
지니,79,https://cdn.chartin.me/image/album/genie/80384393.jpg?v=1709284103085&size=80,첫 눈,EXO,3:28
지니,80,https://cdn.chartin.me/image/album/genie/82638202.jpg?v=1709284110733&size=80,The Drum,Alan Walker,3:09
지니,81,https://cdn.chartin.me/image/album/genie/84391893.jpg?v=1709284119263&size=80,잠시라도 우리,"성시경, 성시경 & 나얼, 나얼",4:53
지니,82,https://cdn.chartin.me/image/album/genie/84729887.jpg?v=1709284122011&size=80,Shh.. (Feat. 혜인 (HYEIN) & 조원선 & Special Narr. 패티김),아이유 (IU),3:47
지니,83,https://cdn.chartin.me/image/album/genie/82586132.jpg?v=1709284109955&size=80,TOMBOY,(여자)아이들,2:54
지니,84,https://cdn.chartin.me/image/album/genie/81048807.jpg?v=1709284104470&size=80,어른,Sondia,4:19
지니,85,https://cdn.chartin.me/image/album/genie/83687323.jpg?v=1709284115276&size=80,꽃,지수 (JISOO),2:53
